Close, Volume, Open, High, Low
313.14,25432390,315.03,318.52,313.01
314.96,33843130,313.17,316.5,310.32
307.71,41587090,300.35,307.9,300.21
309.54,39732270,304.51,309.79,301.53
307.65,50155640,312.15,315.95,303.21
311.41,40575260,317.83,319.69,310.91
315.01,36486560,308.1,317.05,307.24
310.13,33511990,305.64,310.35,304.29
303.74,28803760,303.22,305.17,301.97
300.63,35583440,300.46,303.24,298.87
297.56,36937800,295.06,301,294.46
293.16,33391990,289.17,293.69,286.32
289.07,60154180,286.25,299,285.85
293.8,45765970,289.96,294.53,288.35
287.73,34320200,284.73,289.67,283.89
278.58,28001190,285.08,285.83,278.2
283.17,29271890,281.8,284.54,279.95
282.97,31627180,277.2,283.01,277
275.03,31203580,275.87,281.75,274.87
276.1,29264340,273.61,277.9,272.2
268.37,45247890,276.28,277.25,265.43
276.93,32503750,277.95,281.68,276.85
